@relation control_asistencia_monngo.asistencias-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R5

@attribute nombre {'Jorge Morales','Rafael Ortiz','Claudia Reyes','Mario Salazar','Diego Campos','Luis Silva','Laura Sanchez','Juan Pena','Sofia Herrera','Sara Villalba','Felipe Mendoza','Tomas Gallardo','Hector Gutierrez','Diana Moreno','Gabriel Romero','Elena Vargas','Lucia Medina','Monica Cabrera','Jose Lopez','Paula Fernandez','Carlos Diaz','Ana Torres','Miguel Castro','Daniela Pardo','Camila Navarro','Isabel Fuentes','Pedro Gomez','Andrea Rios','Valeria Soto','Pablo Torres'}
@attribute clase {Matematicas-A,Quimica-C,Historia-B}
@attribute dia_semana {martes,viernes,lunes,miercoles,jueves}
@attribute hora {'10:15 a. m.','11:30 a. m.','10:00 a. m.','02:45 a. m.','10:15 p. m.','09:15 p. m.','07:00 p. m.','08:45 a. m.','06:15 a. m.','06:00 p. m.','01:15 a. m.','02:00 p. m.','06:45 p. m.','04:30 a. m.','04:45 p. m.','11:45 p. m.','09:00 a. m.','11:15 a. m.','08:00 a. m.','06:30 a. m.','02:30 a. m.','11:30 p. m.','05:15 p. m.','04:30 p. m.','01:00 a. m.','05:30 a. m.','02:00 a. m.','04:15 p. m.','10:30 a. m.','01:15 p. m.','09:00 p. m.','02:15 p. m.','10:30 p. m.','03:00 a. m.','12:30 a. m.','10:00 p. m.','11:00 a. m.','09:30 p. m.','03:00 p. m.','01:30 p. m.','03:45 a. m.','07:45 p. m.','05:45 a. m.','03:45 p. m.','05:15 a. m.','03:15 p. m.','08:15 p. m.','10:45 a. m.','12:00 a. m.','07:30 p. m.','07:15 p. m.','09:30 a. m.','04:45 a. m.','09:15 a. m.','07:15 a. m.','03:30 p. m.','05:00 p. m.','01:45 a. m.','08:00 p. m.','03:15 a. m.','07:30 a. m.','12:00 p. m.','04:00 p. m.','07:45 a. m.','09:45 a. m.','12:45 a. m.','04:15 a. m.','12:45 p. m.','08:15 a. m.','12:15 a. m.','08:30 p. m.','04:00 a. m.','11:45 a. m.','05:45 p. m.','01:45 p. m.','02:30 p. m.','06:45 a. m.','08:45 p. m.','08:30 a. m.','10:45 p. m.','05:30 p. m.','06:15 p. m.','12:15 p. m.','02:45 p. m.','05:00 a. m.','01:00 p. m.','11:15 p. m.','11:00 p. m.','01:30 a. m.','06:30 p. m.','03:30 a. m.','06:00 a. m.','07:00 a. m.','02:15 a. m.','09:45 p. m.','12:30 p. m.'}
@attribute mes {febrero,enero,abril,marzo,diciembre,mayo,julio,octubre,septiembre,noviembre,junio,agosto}
@attribute estado {Ausente,Presente,Tarde}

@data
'Daniela Pardo',Historia-B,martes,'06:00 a. m.',septiembre,Presente
'Jorge Morales',Historia-B,lunes,'07:00 a. m.',mayo,Presente
'Felipe Mendoza',Quimica-C,miercoles,'06:45 a. m.',octubre,Presente
'Isabel Fuentes',Quimica-C,jueves,'01:45 p. m.',mayo,Presente
'Camila Navarro',Quimica-C,martes,'12:15 p. m.',febrero,Ausente
'Paula Fernandez',Quimica-C,miercoles,'11:15 p. m.',mayo,Ausente
'Lucia Medina',Quimica-C,viernes,'12:00 p. m.',septiembre,Ausente
'Rafael Ortiz',Matematicas-A,viernes,'04:15 a. m.',noviembre,Presente
'Ana Torres',Matematicas-A,miercoles,'07:30 p. m.',agosto,Presente
'Daniela Pardo',Matematicas-A,martes,'08:15 a. m.',enero,Tarde
'Juan Pena',Historia-B,martes,'09:30 p. m.',enero,Tarde
'Elena Vargas',Matematicas-A,viernes,'05:15 p. m.',agosto,Presente
'Sofia Herrera',Quimica-C,miercoles,'12:15 p. m.',enero,Ausente
'Hector Gutierrez',Quimica-C,lunes,'02:15 a. m.',febrero,Presente
'Pedro Gomez',Historia-B,lunes,'08:00 a. m.',julio,Presente
'Carlos Diaz',Quimica-C,jueves,'03:45 p. m.',julio,Presente
'Andrea Rios',Matematicas-A,miercoles,'09:15 a. m.',febrero,Ausente
'Jose Lopez',Historia-B,jueves,'01:30 a. m.',septiembre,Presente
'Andrea Rios',Quimica-C,viernes,'08:45 a. m.',junio,Presente
'Gabriel Romero',Matematicas-A,lunes,'04:00 a. m.',junio,Presente
'Juan Pena',Matematicas-A,martes,'08:15 p. m.',octubre,Tarde
'Paula Fernandez',Quimica-C,martes,'04:45 p. m.',agosto,Presente
'Lucia Medina',Matematicas-A,lunes,'05:45 a. m.',julio,Presente
'Jorge Morales',Matematicas-A,jueves,'02:15 p. m.',abril,Presente
'Rafael Ortiz',Historia-B,jueves,'02:15 p. m.',agosto,Presente
'Sofia Herrera',Matematicas-A,viernes,'10:15 p. m.',enero,Ausente
'Diana Moreno',Historia-B,viernes,'08:15 a. m.',octubre,Presente
'Valeria Soto',Quimica-C,lunes,'05:45 a. m.',diciembre,Presente
'Gabriel Romero',Historia-B,jueves,'10:15 p. m.',enero,Ausente
'Jorge Morales',Historia-B,miercoles,'03:15 p. m.',mayo,Presente
'Miguel Castro',Historia-B,lunes,'05:30 a. m.',junio,Presente
'Diana Moreno',Quimica-C,martes,'06:15 p. m.',enero,Presente
'Claudia Reyes',Historia-B,martes,'12:45 a. m.',mayo,Ausente
'Diana Moreno',Historia-B,viernes,'04:30 a. m.',marzo,Presente
'Daniela Pardo',Matematicas-A,martes,'12:00 a. m.',octubre,Ausente
'Diana Moreno',Historia-B,miercoles,'04:30 a. m.',mayo,Presente
'Paula Fernandez',Matematicas-A,viernes,'12:45 p. m.',marzo,Ausente
'Monica Cabrera',Historia-B,miercoles,'08:30 p. m.',agosto,Presente
'Sofia Herrera',Matematicas-A,lunes,'12:30 p. m.',diciembre,Ausente
'Camila Navarro',Matematicas-A,miercoles,'01:45 p. m.',agosto,Presente
'Camila Navarro',Historia-B,lunes,'02:45 a. m.',febrero,Presente
'Felipe Mendoza',Quimica-C,jueves,'05:15 a. m.',julio,Presente
'Laura Sanchez',Historia-B,jueves,'07:45 a. m.',noviembre,Presente
'Tomas Gallardo',Quimica-C,jueves,'10:15 p. m.',marzo,Presente
'Ana Torres',Quimica-C,viernes,'12:15 p. m.',marzo,Ausente
'Sofia Herrera',Quimica-C,viernes,'04:15 p. m.',noviembre,Presente
'Jorge Morales',Quimica-C,miercoles,'01:45 a. m.',diciembre,Presente
'Felipe Mendoza',Historia-B,miercoles,'01:00 a. m.',julio,Presente
'Luis Silva',Historia-B,viernes,'03:30 a. m.',marzo,Presente
'Jose Lopez',Quimica-C,martes,'03:15 a. m.',marzo,Presente
'Jose Lopez',Quimica-C,martes,'09:00 a. m.',octubre,Presente
'Camila Navarro',Matematicas-A,miercoles,'08:45 a. m.',enero,Ausente
'Camila Navarro',Quimica-C,miercoles,'10:15 a. m.',enero,Presente
'Camila Navarro',Quimica-C,miercoles,'01:15 a. m.',octubre,Presente
'Daniela Pardo',Historia-B,viernes,'09:15 p. m.',agosto,Tarde
'Paula Fernandez',Historia-B,jueves,'12:15 a. m.',diciembre,Ausente
'Tomas Gallardo',Matematicas-A,miercoles,'03:30 a. m.',mayo,Presente
'Laura Sanchez',Quimica-C,jueves,'07:15 p. m.',julio,Presente
'Mario Salazar',Historia-B,miercoles,'09:30 a. m.',marzo,Tarde
'Lucia Medina',Quimica-C,martes,'11:45 p. m.',noviembre,Ausente
'Pedro Gomez',Quimica-C,martes,'11:45 p. m.',septiembre,Ausente
'Miguel Castro',Matematicas-A,lunes,'05:15 p. m.',octubre,Presente
'Lucia Medina',Quimica-C,jueves,'07:30 p. m.',marzo,Presente
'Laura Sanchez',Matematicas-A,viernes,'12:15 p. m.',marzo,Ausente
'Pedro Gomez',Historia-B,miercoles,'08:30 p. m.',mayo,Presente
'Mario Salazar',Quimica-C,viernes,'09:45 p. m.',junio,Presente
'Claudia Reyes',Historia-B,lunes,'03:45 a. m.',abril,Presente
'Elena Vargas',Quimica-C,viernes,'07:00 p. m.',septiembre,Presente
'Diana Moreno',Historia-B,martes,'03:00 p. m.',octubre,Presente
'Carlos Diaz',Quimica-C,lunes,'01:30 a. m.',junio,Presente
'Mario Salazar',Historia-B,miercoles,'01:30 p. m.',junio,Presente
'Ana Torres',Matematicas-A,martes,'12:30 a. m.',mayo,Ausente
'Daniela Pardo',Historia-B,miercoles,'03:15 a. m.',enero,Presente
'Mario Salazar',Quimica-C,jueves,'10:15 a. m.',mayo,Presente
'Claudia Reyes',Matematicas-A,martes,'04:30 p. m.',diciembre,Presente
'Juan Pena',Historia-B,lunes,'03:45 a. m.',septiembre,Presente
'Diego Campos',Matematicas-A,martes,'03:30 a. m.',agosto,Presente
'Pablo Torres',Matematicas-A,viernes,'09:30 a. m.',octubre,Ausente
'Miguel Castro',Historia-B,viernes,'07:30 p. m.',octubre,Presente
'Daniela Pardo',Historia-B,martes,'01:45 p. m.',noviembre,Presente
'Gabriel Romero',Matematicas-A,viernes,'06:15 p. m.',julio,Presente
'Jorge Morales',Matematicas-A,jueves,'09:45 a. m.',mayo,Ausente
'Sara Villalba',Historia-B,viernes,'10:30 p. m.',octubre,Ausente
'Elena Vargas',Quimica-C,miercoles,'09:45 p. m.',mayo,Presente
'Felipe Mendoza',Matematicas-A,martes,'11:30 a. m.',julio,Ausente
'Diana Moreno',Quimica-C,miercoles,'11:45 p. m.',enero,Ausente
'Claudia Reyes',Matematicas-A,viernes,'04:15 p. m.',marzo,Presente
'Sofia Herrera',Matematicas-A,lunes,'10:00 p. m.',abril,Ausente
'Luis Silva',Quimica-C,martes,'11:30 a. m.',agosto,Ausente
'Jorge Morales',Quimica-C,jueves,'04:15 a. m.',abril,Presente
'Juan Pena',Quimica-C,lunes,'01:00 a. m.',julio,Presente
'Daniela Pardo',Quimica-C,miercoles,'06:45 a. m.',septiembre,Presente
'Ana Torres',Matematicas-A,martes,'01:30 a. m.',septiembre,Presente
'Elena Vargas',Historia-B,jueves,'04:15 p. m.',julio,Presente
'Pablo Torres',Matematicas-A,viernes,'05:30 p. m.',diciembre,Presente
'Paula Fernandez',Historia-B,miercoles,'02:30 p. m.',enero,Presente
'Miguel Castro',Matematicas-A,lunes,'01:30 a. m.',abril,Presente
'Valeria Soto',Matematicas-A,miercoles,'09:30 a. m.',julio,Ausente
'Juan Pena',Matematicas-A,miercoles,'11:45 p. m.',septiembre,Ausente
'Jose Lopez',Matematicas-A,jueves,'07:45 p. m.',agosto,Presente
'Laura Sanchez',Quimica-C,miercoles,'02:00 p. m.',noviembre,Presente
'Diana Moreno',Quimica-C,viernes,'01:00 a. m.',agosto,Presente
'Laura Sanchez',Historia-B,martes,'09:45 a. m.',mayo,Ausente
'Paula Fernandez',Matematicas-A,viernes,'03:45 a. m.',septiembre,Presente
'Elena Vargas',Matematicas-A,viernes,'07:45 a. m.',febrero,Presente
'Laura Sanchez',Quimica-C,jueves,'03:30 a. m.',junio,Presente
'Paula Fernandez',Historia-B,martes,'07:00 a. m.',marzo,Presente
'Paula Fernandez',Historia-B,miercoles,'01:45 p. m.',abril,Presente
'Jose Lopez',Historia-B,martes,'08:30 p. m.',diciembre,Presente
'Camila Navarro',Quimica-C,miercoles,'08:45 p. m.',febrero,Presente
'Laura Sanchez',Historia-B,viernes,'12:30 a. m.',febrero,Ausente
'Pablo Torres',Historia-B,martes,'08:15 p. m.',enero,Presente
'Paula Fernandez',Historia-B,viernes,'03:15 p. m.',abril,Presente
'Tomas Gallardo',Quimica-C,viernes,'09:45 a. m.',junio,Presente
'Diana Moreno',Historia-B,martes,'11:30 p. m.',febrero,Ausente
'Carlos Diaz',Matematicas-A,jueves,'07:45 a. m.',junio,Presente
'Sofia Herrera',Quimica-C,miercoles,'01:45 a. m.',febrero,Presente
'Diego Campos',Quimica-C,jueves,'04:00 p. m.',abril,Presente
'Diana Moreno',Historia-B,miercoles,'10:15 a. m.',enero,Ausente
'Carlos Diaz',Quimica-C,jueves,'11:15 a. m.',enero,Ausente
'Andrea Rios',Quimica-C,martes,'03:00 p. m.',enero,Presente
'Pedro Gomez',Historia-B,jueves,'02:45 a. m.',octubre,Presente
'Luis Silva',Historia-B,martes,'08:30 p. m.',septiembre,Presente
'Mario Salazar',Matematicas-A,lunes,'04:30 a. m.',agosto,Presente
'Sara Villalba',Historia-B,lunes,'07:45 p. m.',julio,Presente
'Diana Moreno',Historia-B,viernes,'10:15 a. m.',marzo,Ausente
'Lucia Medina',Matematicas-A,lunes,'06:45 p. m.',noviembre,Presente
'Elena Vargas',Matematicas-A,viernes,'01:00 a. m.',junio,Presente
'Valeria Soto',Historia-B,miercoles,'06:45 a. m.',julio,Presente
'Pablo Torres',Quimica-C,lunes,'10:45 a. m.',enero,Tarde
'Felipe Mendoza',Historia-B,miercoles,'09:30 p. m.',octubre,Tarde
'Diego Campos',Matematicas-A,martes,'07:15 a. m.',agosto,Presente
'Hector Gutierrez',Historia-B,lunes,'11:45 p. m.',agosto,Ausente
'Pedro Gomez',Quimica-C,miercoles,'02:30 a. m.',agosto,Presente
'Monica Cabrera',Matematicas-A,viernes,'05:45 a. m.',diciembre,Presente
'Elena Vargas',Matematicas-A,jueves,'02:30 a. m.',enero,Presente
'Sara Villalba',Historia-B,viernes,'02:00 a. m.',julio,Presente
'Camila Navarro',Historia-B,viernes,'05:45 p. m.',abril,Presente
'Elena Vargas',Matematicas-A,viernes,'12:00 a. m.',mayo,Ausente
'Laura Sanchez',Matematicas-A,miercoles,'06:30 a. m.',diciembre,Presente
'Isabel Fuentes',Matematicas-A,viernes,'02:00 p. m.',marzo,Presente
'Andrea Rios',Matematicas-A,lunes,'11:15 a. m.',noviembre,Ausente
'Gabriel Romero',Quimica-C,viernes,'04:00 a. m.',enero,Presente
'Carlos Diaz',Historia-B,viernes,'01:00 a. m.',agosto,Presente
'Elena Vargas',Quimica-C,lunes,'05:15 a. m.',octubre,Presente
'Paula Fernandez',Historia-B,jueves,'04:30 a. m.',octubre,Presente
'Laura Sanchez',Quimica-C,viernes,'11:15 a. m.',enero,Ausente
'Hector Gutierrez',Matematicas-A,martes,'07:30 a. m.',abril,Presente
'Daniela Pardo',Historia-B,viernes,'12:30 p. m.',noviembre,Ausente
'Monica Cabrera',Quimica-C,jueves,'11:00 p. m.',julio,Tarde
'Claudia Reyes',Matematicas-A,jueves,'05:00 a. m.',septiembre,Presente
'Jorge Morales',Matematicas-A,viernes,'02:15 a. m.',marzo,Presente
'Ana Torres',Quimica-C,lunes,'07:15 p. m.',mayo,Presente
'Hector Gutierrez',Matematicas-A,martes,'07:45 a. m.',febrero,Presente
'Miguel Castro',Matematicas-A,viernes,'10:15 p. m.',agosto,Ausente
'Jorge Morales',Quimica-C,lunes,'12:15 a. m.',noviembre,Ausente
'Juan Pena',Matematicas-A,miercoles,'05:30 a. m.',enero,Presente
'Jorge Morales',Matematicas-A,lunes,'11:45 a. m.',marzo,Ausente
'Andrea Rios',Matematicas-A,viernes,'09:30 p. m.',octubre,Ausente
'Sara Villalba',Matematicas-A,martes,'07:00 a. m.',enero,Presente
'Juan Pena',Matematicas-A,miercoles,'11:00 a. m.',abril,Ausente
'Pablo Torres',Matematicas-A,jueves,'01:30 a. m.',diciembre,Presente
'Pablo Torres',Quimica-C,miercoles,'02:45 a. m.',junio,Presente
'Gabriel Romero',Quimica-C,miercoles,'07:15 p. m.',abril,Presente
'Valeria Soto',Historia-B,lunes,'08:45 a. m.',febrero,Presente
'Luis Silva',Quimica-C,jueves,'11:45 a. m.',junio,Ausente
'Valeria Soto',Quimica-C,viernes,'02:00 p. m.',abril,Presente
'Pedro Gomez',Matematicas-A,jueves,'11:15 p. m.',noviembre,Ausente
'Diego Campos',Historia-B,martes,'07:30 a. m.',septiembre,Presente
'Pedro Gomez',Historia-B,jueves,'01:45 p. m.',diciembre,Presente
'Mario Salazar',Matematicas-A,jueves,'08:15 p. m.',enero,Tarde
'Diego Campos',Quimica-C,viernes,'06:00 a. m.',julio,Presente
'Gabriel Romero',Matematicas-A,lunes,'10:45 a. m.',septiembre,Ausente
'Valeria Soto',Quimica-C,viernes,'08:30 p. m.',agosto,Presente
'Ana Torres',Matematicas-A,viernes,'11:15 p. m.',marzo,Ausente
'Diego Campos',Historia-B,lunes,'11:45 a. m.',junio,Ausente
'Isabel Fuentes',Historia-B,jueves,'09:45 p. m.',abril,Ausente
'Gabriel Romero',Historia-B,viernes,'02:15 a. m.',noviembre,Presente
'Ana Torres',Matematicas-A,miercoles,'05:15 a. m.',mayo,Presente
'Jose Lopez',Matematicas-A,jueves,'03:00 a. m.',julio,Presente
'Jose Lopez',Matematicas-A,miercoles,'01:15 a. m.',mayo,Presente
'Camila Navarro',Historia-B,lunes,'09:30 p. m.',marzo,Tarde
'Elena Vargas',Matematicas-A,viernes,'08:00 a. m.',junio,Presente
'Laura Sanchez',Quimica-C,viernes,'11:30 p. m.',julio,Ausente
'Paula Fernandez',Historia-B,lunes,'01:30 a. m.',mayo,Presente
'Sofia Herrera',Historia-B,jueves,'01:00 a. m.',septiembre,Presente
'Rafael Ortiz',Historia-B,lunes,'06:15 a. m.',noviembre,Presente
'Laura Sanchez',Quimica-C,miercoles,'03:15 p. m.',diciembre,Presente
'Andrea Rios',Quimica-C,lunes,'07:30 a. m.',noviembre,Presente
'Diego Campos',Quimica-C,jueves,'07:15 p. m.',septiembre,Presente
'Carlos Diaz',Matematicas-A,miercoles,'08:30 p. m.',febrero,Tarde
'Carlos Diaz',Quimica-C,jueves,'01:15 a. m.',abril,Presente
'Hector Gutierrez',Historia-B,martes,'07:30 a. m.',mayo,Presente
'Sofia Herrera',Historia-B,jueves,'09:30 p. m.',mayo,Tarde
'Camila Navarro',Historia-B,viernes,'11:00 p. m.',agosto,Ausente
'Hector Gutierrez',Historia-B,viernes,'12:30 p. m.',junio,Ausente
'Claudia Reyes',Matematicas-A,miercoles,'05:00 p. m.',agosto,Presente
'Sara Villalba',Quimica-C,viernes,'01:15 p. m.',junio,Presente
'Luis Silva',Matematicas-A,martes,'11:15 a. m.',abril,Ausente
'Sara Villalba',Historia-B,viernes,'04:45 p. m.',agosto,Presente
'Mario Salazar',Matematicas-A,lunes,'05:00 a. m.',marzo,Presente
'Hector Gutierrez',Historia-B,jueves,'05:00 p. m.',julio,Presente
'Mario Salazar',Historia-B,jueves,'02:45 a. m.',enero,Presente
'Pablo Torres',Historia-B,miercoles,'12:30 a. m.',mayo,Ausente
'Isabel Fuentes',Quimica-C,jueves,'11:00 p. m.',enero,Tarde
'Elena Vargas',Matematicas-A,martes,'06:00 a. m.',febrero,Presente
'Camila Navarro',Quimica-C,jueves,'01:15 a. m.',julio,Presente
'Felipe Mendoza',Matematicas-A,miercoles,'04:15 p. m.',febrero,Presente
'Elena Vargas',Historia-B,jueves,'09:15 a. m.',septiembre,Tarde
'Paula Fernandez',Historia-B,viernes,'04:30 p. m.',julio,Presente
'Luis Silva',Historia-B,martes,'07:15 a. m.',diciembre,Presente
'Isabel Fuentes',Quimica-C,martes,'06:15 a. m.',noviembre,Presente
'Laura Sanchez',Quimica-C,miercoles,'11:15 a. m.',diciembre,Ausente
'Luis Silva',Matematicas-A,viernes,'07:00 a. m.',septiembre,Presente
'Tomas Gallardo',Quimica-C,jueves,'05:45 p. m.',mayo,Presente
'Daniela Pardo',Matematicas-A,viernes,'12:45 p. m.',septiembre,Ausente
'Jose Lopez',Matematicas-A,martes,'01:45 p. m.',marzo,Presente
'Isabel Fuentes',Matematicas-A,miercoles,'12:45 p. m.',octubre,Ausente
'Miguel Castro',Historia-B,miercoles,'11:00 p. m.',octubre,Ausente
'Hector Gutierrez',Historia-B,martes,'01:45 a. m.',noviembre,Presente
'Valeria Soto',Quimica-C,martes,'02:15 p. m.',agosto,Presente
'Felipe Mendoza',Historia-B,martes,'10:30 a. m.',noviembre,Ausente
'Gabriel Romero',Historia-B,lunes,'07:15 p. m.',abril,Presente
'Ana Torres',Historia-B,martes,'05:30 p. m.',diciembre,Presente
'Jorge Morales',Matematicas-A,miercoles,'09:00 a. m.',julio,Ausente
'Gabriel Romero',Quimica-C,miercoles,'09:45 a. m.',marzo,Presente
'Jose Lopez',Quimica-C,lunes,'06:15 a. m.',abril,Presente
'Daniela Pardo',Historia-B,lunes,'09:00 p. m.',agosto,Presente
'Hector Gutierrez',Matematicas-A,lunes,'06:15 a. m.',abril,Presente
'Luis Silva',Matematicas-A,jueves,'02:00 a. m.',agosto,Presente
'Mario Salazar',Matematicas-A,lunes,'08:15 a. m.',julio,Tarde
'Elena Vargas',Historia-B,jueves,'07:15 a. m.',febrero,Presente
'Valeria Soto',Quimica-C,viernes,'02:45 p. m.',mayo,Presente
'Camila Navarro',Matematicas-A,martes,'04:30 a. m.',septiembre,Presente
'Daniela Pardo',Quimica-C,jueves,'04:45 p. m.',agosto,Presente
'Claudia Reyes',Quimica-C,jueves,'11:00 p. m.',julio,Tarde
'Sara Villalba',Matematicas-A,miercoles,'07:15 p. m.',mayo,Presente
'Pablo Torres',Quimica-C,jueves,'09:15 a. m.',diciembre,Presente
'Pablo Torres',Historia-B,lunes,'01:45 a. m.',julio,Presente
'Lucia Medina',Historia-B,jueves,'11:00 p. m.',diciembre,Ausente
'Pedro Gomez',Historia-B,jueves,'05:30 a. m.',abril,Presente
'Paula Fernandez',Matematicas-A,lunes,'06:30 p. m.',abril,Presente
'Jorge Morales',Matematicas-A,miercoles,'07:15 a. m.',febrero,Presente
'Valeria Soto',Matematicas-A,jueves,'03:00 p. m.',abril,Presente
'Pedro Gomez',Matematicas-A,martes,'04:15 p. m.',diciembre,Presente
'Lucia Medina',Historia-B,miercoles,'09:00 p. m.',septiembre,Presente
'Jose Lopez',Historia-B,lunes,'02:00 a. m.',septiembre,Presente
'Andrea Rios',Historia-B,lunes,'05:15 p. m.',septiembre,Presente
'Pablo Torres',Historia-B,lunes,'10:00 a. m.',marzo,Ausente
'Claudia Reyes',Matematicas-A,miercoles,'10:15 a. m.',enero,Ausente
'Juan Pena',Quimica-C,lunes,'12:15 p. m.',enero,Ausente
'Camila Navarro',Historia-B,martes,'02:00 a. m.',agosto,Presente
'Miguel Castro',Historia-B,martes,'09:45 p. m.',marzo,Ausente
'Sofia Herrera',Matematicas-A,lunes,'09:00 p. m.',febrero,Ausente
'Jose Lopez',Historia-B,miercoles,'03:00 p. m.',julio,Presente
'Luis Silva',Quimica-C,lunes,'08:45 a. m.',mayo,Presente
'Sara Villalba',Historia-B,lunes,'04:00 p. m.',abril,Presente
'Claudia Reyes',Historia-B,lunes,'12:15 p. m.',junio,Ausente
'Juan Pena',Quimica-C,viernes,'04:30 a. m.',septiembre,Presente
'Felipe Mendoza',Matematicas-A,martes,'02:30 p. m.',julio,Presente
'Paula Fernandez',Quimica-C,jueves,'09:00 a. m.',enero,Presente
'Valeria Soto',Quimica-C,miercoles,'03:00 p. m.',marzo,Presente
'Monica Cabrera',Historia-B,lunes,'09:45 a. m.',febrero,Ausente
'Claudia Reyes',Historia-B,lunes,'07:15 a. m.',marzo,Presente
'Isabel Fuentes',Matematicas-A,lunes,'08:15 p. m.',mayo,Tarde
'Hector Gutierrez',Quimica-C,miercoles,'02:45 p. m.',diciembre,Presente
'Jorge Morales',Historia-B,viernes,'03:45 a. m.',febrero,Presente
'Claudia Reyes',Quimica-C,viernes,'02:15 p. m.',octubre,Presente
'Juan Pena',Quimica-C,jueves,'03:00 p. m.',mayo,Presente
'Diana Moreno',Matematicas-A,lunes,'07:45 a. m.',septiembre,Presente
'Pablo Torres',Historia-B,viernes,'01:00 p. m.',diciembre,Presente
'Diana Moreno',Historia-B,miercoles,'02:45 p. m.',diciembre,Presente
'Isabel Fuentes',Quimica-C,miercoles,'06:30 a. m.',julio,Presente
'Monica Cabrera',Historia-B,lunes,'12:00 a. m.',agosto,Ausente
'Felipe Mendoza',Quimica-C,viernes,'11:00 p. m.',agosto,Tarde
'Andrea Rios',Historia-B,jueves,'07:30 a. m.',diciembre,Presente
'Lucia Medina',Matematicas-A,lunes,'01:45 p. m.',diciembre,Presente
'Sara Villalba',Historia-B,martes,'05:45 a. m.',julio,Presente
'Ana Torres',Quimica-C,viernes,'04:00 p. m.',diciembre,Presente
'Ana Torres',Matematicas-A,miercoles,'10:45 a. m.',diciembre,Ausente
'Elena Vargas',Historia-B,jueves,'01:30 a. m.',junio,Presente
'Claudia Reyes',Matematicas-A,miercoles,'02:15 a. m.',septiembre,Presente
'Felipe Mendoza',Matematicas-A,jueves,'03:45 p. m.',diciembre,Presente
'Jorge Morales',Quimica-C,martes,'01:45 a. m.',septiembre,Presente
'Luis Silva',Historia-B,lunes,'04:45 a. m.',marzo,Presente
'Daniela Pardo',Matematicas-A,miercoles,'06:30 a. m.',noviembre,Presente
'Jose Lopez',Matematicas-A,viernes,'04:15 a. m.',febrero,Presente
'Sara Villalba',Historia-B,jueves,'06:45 p. m.',octubre,Presente
'Diana Moreno',Historia-B,martes,'12:45 p. m.',diciembre,Ausente
'Isabel Fuentes',Historia-B,miercoles,'11:00 a. m.',agosto,Ausente
'Jose Lopez',Matematicas-A,martes,'02:45 p. m.',septiembre,Presente
'Rafael Ortiz',Quimica-C,lunes,'12:30 p. m.',noviembre,Ausente
'Lucia Medina',Quimica-C,miercoles,'07:15 p. m.',mayo,Presente
'Laura Sanchez',Quimica-C,lunes,'03:30 p. m.',octubre,Presente
'Daniela Pardo',Quimica-C,jueves,'05:15 a. m.',mayo,Presente
'Paula Fernandez',Quimica-C,jueves,'02:15 p. m.',diciembre,Presente
'Juan Pena',Historia-B,jueves,'06:30 a. m.',abril,Presente
'Pablo Torres',Matematicas-A,jueves,'02:00 a. m.',mayo,Presente
'Paula Fernandez',Historia-B,lunes,'11:00 p. m.',enero,Ausente
'Jorge Morales',Quimica-C,martes,'11:15 a. m.',noviembre,Ausente
'Monica Cabrera',Quimica-C,lunes,'01:00 a. m.',septiembre,Presente
'Ana Torres',Matematicas-A,viernes,'04:15 p. m.',octubre,Presente
'Lucia Medina',Matematicas-A,viernes,'12:15 a. m.',agosto,Ausente
'Hector Gutierrez',Quimica-C,miercoles,'02:00 a. m.',noviembre,Presente
'Tomas Gallardo',Quimica-C,lunes,'11:45 a. m.',octubre,Ausente
'Valeria Soto',Matematicas-A,viernes,'05:45 a. m.',octubre,Presente
'Diana Moreno',Quimica-C,viernes,'11:45 p. m.',octubre,Ausente
'Ana Torres',Quimica-C,jueves,'03:30 a. m.',octubre,Presente
'Camila Navarro',Matematicas-A,miercoles,'09:45 p. m.',marzo,Ausente
'Pablo Torres',Quimica-C,martes,'03:00 a. m.',mayo,Presente
'Rafael Ortiz',Matematicas-A,martes,'04:00 a. m.',diciembre,Presente
'Isabel Fuentes',Historia-B,lunes,'10:30 p. m.',febrero,Ausente
'Rafael Ortiz',Quimica-C,lunes,'06:45 p. m.',mayo,Presente
'Lucia Medina',Historia-B,viernes,'06:15 a. m.',marzo,Presente
'Elena Vargas',Quimica-C,jueves,'11:45 a. m.',mayo,Ausente
'Hector Gutierrez',Matematicas-A,jueves,'06:30 a. m.',octubre,Presente
'Rafael Ortiz',Quimica-C,jueves,'09:15 a. m.',marzo,Presente
'Pedro Gomez',Historia-B,lunes,'02:45 p. m.',octubre,Presente
'Claudia Reyes',Matematicas-A,martes,'01:00 p. m.',agosto,Presente
'Jorge Morales',Historia-B,jueves,'10:00 p. m.',junio,Ausente
'Laura Sanchez',Matematicas-A,miercoles,'06:00 p. m.',noviembre,Presente
'Felipe Mendoza',Matematicas-A,viernes,'12:15 a. m.',junio,Ausente
'Daniela Pardo',Quimica-C,viernes,'06:00 p. m.',enero,Presente
'Paula Fernandez',Historia-B,lunes,'05:00 a. m.',mayo,Presente
'Carlos Diaz',Quimica-C,viernes,'10:00 p. m.',junio,Presente
'Sara Villalba',Quimica-C,miercoles,'02:00 p. m.',septiembre,Presente
